Date,Open,High,Low,Close,Adj Close,Volume
2016-04-13,127.709999,127.919998,126.080002,126.889999,106.242966,4985200
2016-04-14,127.139999,128.089996,127.040001,127.510002,106.762115,4834800
2016-04-15,127.080002,128.039993,126.959999,127.779999,106.988152,3103800
2016-04-18,127.779999,128.910004,127.680000,128.850006,107.884056,4525600
2016-04-19,128.910004,129.350006,128.119995,128.860001,107.892426,4606300
2016-04-20,129.309998,129.800003,128.509995,128.550003,107.632881,5006700
2016-04-21,128.550003,128.750000,125.599998,125.790001,105.321953,7947600
2016-04-22,128.169998,128.399994,125.360001,125.500000,105.079170,9311300
2016-04-25,125.070000,127.529999,125.010002,127.459999,106.720245,6979900
2016-04-26,127.419998,128.339996,127.029999,127.709999,106.929535,4082300
2016-04-27,127.940002,128.559998,127.779999,128.300003,107.423546,4436200
2016-04-28,127.860001,128.850006,127.440002,127.919998,107.105385,3385800
2016-04-29,127.930000,127.930000,126.099998,126.489998,105.908051,6276900
2016-05-02,126.650002,128.220001,126.500000,128.199997,107.339828,4830800
2016-05-03,127.400002,128.990005,127.379997,128.399994,107.507294,4048400
2016-05-04,127.570000,130.429993,127.570000,129.330002,108.285965,6613700
2016-05-05,129.309998,129.979996,129.000000,129.279999,108.244087,4519700
2016-05-06,129.380005,130.580002,128.589996,130.580002,109.332550,4418400
2016-05-09,130.649994,131.500000,130.350006,130.830002,109.541870,5006800
2016-05-10,130.850006,131.960007,130.850006,131.600006,110.186584,4082600
2016-05-11,131.240005,131.619995,129.139999,129.139999,108.126854,6890200
2016-05-12,129.740005,130.539993,129.160004,130.119995,108.947403,4286800
2016-05-13,129.740005,130.160004,128.710007,128.830002,107.867317,6568700
2016-05-16,128.509995,129.729996,128.050003,129.639999,108.545525,4343600
2016-05-17,129.600006,129.970001,127.300003,127.690002,106.912811,5826200
2016-05-18,127.050003,127.470001,125.730003,126.209999,105.673615,7303200
2016-05-19,125.480003,125.599998,124.680000,125.290001,104.903328,6255100
2016-05-20,124.739998,125.000000,122.139999,122.559998,102.617538,9735900
2016-05-23,122.760002,123.730003,122.470001,122.809998,102.826859,7081600
2016-05-24,123.389999,124.769997,123.010002,123.949997,103.781364,4494100
2016-05-25,123.750000,123.989998,123.029999,123.260002,103.203644,5307400
2016-05-26,123.379997,123.980003,123.230003,123.790001,103.647385,3716300
2016-05-27,124.269997,124.680000,123.120003,123.250000,103.195267,3222800
2016-05-31,123.300003,123.410004,121.620003,122.059998,102.198891,7995200
2016-06-01,122.059998,122.739998,121.500000,121.970001,102.123550,5057200
2016-06-02,120.699997,121.510002,120.550003,121.169998,102.199455,4740200
2016-06-03,121.089996,121.669998,120.339996,121.349998,102.351250,4643000
2016-06-06,121.790001,122.169998,121.209999,122.000000,102.899513,4901700
2016-06-07,122.339996,123.379997,121.900002,121.900002,102.815170,4562100
2016-06-08,121.980003,122.489998,120.889999,122.110001,102.992287,3925900
2016-06-09,122.070000,123.089996,122.070000,122.790001,103.565826,4583400
2016-06-10,121.800003,122.660004,121.610001,122.360001,103.203125,4347400
2016-06-13,121.949997,123.970001,121.849998,122.989998,103.734489,5436700
2016-06-14,122.540001,123.190002,121.930000,122.510002,103.329666,6351400
2016-06-15,123.150002,123.320000,122.129997,122.250000,103.110359,4168100
2016-06-16,121.839996,122.629997,120.949997,122.470001,103.295921,3931800
2016-06-17,122.230003,122.709999,121.419998,122.269997,103.127197,8331400
2016-06-20,123.320000,124.080002,123.269997,123.419998,104.097183,5951000
2016-06-21,123.919998,124.000000,122.309998,122.629997,103.430870,4749000
2016-06-22,121.309998,121.449997,120.050003,120.620003,101.735550,6578900
2016-06-23,121.480003,121.750000,120.639999,121.209999,102.233170,3832800
2016-06-24,118.760002,121.110001,118.290001,119.440002,100.740311,6985900
2016-06-27,118.160004,118.160004,116.080002,116.300003,98.091911,14150500
2016-06-28,117.199997,118.639999,116.830002,118.500000,99.947472,6173000
2016-06-29,119.160004,119.959999,119.000000,119.489998,100.782463,5020400
2016-06-30,119.680000,120.449997,119.300003,120.339996,101.499382,4808100
2016-07-01,119.720001,120.860001,119.660004,120.400002,101.549995,3798100
2016-07-05,120.120003,120.800003,120.099998,120.760002,101.853645,5191100
2016-07-06,119.290001,120.959999,119.000000,120.629997,101.744003,5102800
2016-07-07,120.889999,121.239998,120.410004,120.919998,101.988579,3621300
2016-07-08,121.220001,121.690002,121.080002,121.309998,102.317535,3809600
2016-07-11,121.690002,122.120003,121.459999,122.000000,102.899513,4266300
2016-07-12,122.000000,122.589996,121.959999,122.250000,103.110359,3742000
2016-07-13,122.360001,123.019997,122.160004,122.820000,103.591125,3464200
2016-07-14,123.699997,124.209999,123.010002,123.930000,104.527359,6011900
2016-07-15,124.419998,124.440002,123.389999,123.610001,104.257454,3688400
2016-07-18,124.000000,124.000000,123.389999,123.800003,104.417686,5254700
2016-07-19,124.080002,126.599998,123.750000,126.500000,106.694969,6277700
2016-07-20,126.839996,126.870003,125.559998,126.059998,106.323883,3353300
2016-07-21,126.419998,127.230003,125.930000,127.180000,107.268509,3572100
2016-07-22,127.290001,128.600006,127.290001,128.259995,108.179413,4304200
2016-07-25,127.949997,127.949997,126.860001,127.400002,107.454071,6210100
2016-07-26,123.500000,124.349998,120.970001,121.709999,102.654915,14563700
2016-07-27,121.690002,121.790001,119.239998,119.480003,100.774048,9939200
2016-07-28,119.589996,120.180000,118.360001,119.419998,100.723434,6239400
2016-07-29,119.139999,119.660004,117.430000,117.650002,99.230545,7460900
2016-08-01,117.879997,118.389999,117.739998,118.010002,99.534172,4208800
2016-08-02,118.180000,118.709999,117.110001,117.699997,99.272736,4504200
2016-08-03,117.769997,118.019997,117.139999,117.519997,99.120880,4120000
2016-08-04,117.849998,118.550003,117.580002,118.300003,99.778786,4313200
2016-08-05,118.779999,119.449997,118.599998,119.209999,100.546318,3883800
2016-08-08,119.169998,119.370003,118.199997,118.290001,99.770355,3589300
2016-08-09,117.980003,119.129997,117.599998,118.309998,99.787224,3491700
2016-08-10,118.000000,118.940002,117.650002,118.800003,100.200500,2941700
2016-08-11,118.870003,119.750000,118.849998,119.379997,100.689705,3490200
2016-08-12,119.570000,120.019997,119.279999,119.519997,100.807762,3015700
2016-08-15,119.019997,119.250000,118.519997,118.519997,99.964325,3391600
2016-08-16,118.309998,118.529999,117.919998,117.940002,99.475121,3333900
2016-08-17,117.980003,117.980003,116.519997,117.099998,98.766640,5184900
2016-08-18,117.239998,117.370003,116.800003,117.129997,98.791962,3710500
2016-08-19,116.800003,116.800003,115.000000,115.010002,97.003860,7065700
2016-08-22,115.000000,115.730003,114.650002,115.419998,97.349678,4484700
2016-08-23,115.910004,116.120003,115.050003,115.190002,97.155693,4305400
2016-08-24,115.150002,115.400002,114.730003,114.870003,96.885796,4135400
2016-08-25,115.099998,115.779999,114.879997,115.430000,97.358109,6694100
2016-08-26,115.629997,115.720001,113.959999,114.440002,96.523102,5294500
2016-08-29,114.599998,115.650002,114.500000,115.410004,97.341240,4983000
2016-08-30,115.410004,115.870003,114.599998,115.360001,98.055229,5085300
